bill,year,,support_spent,oppose_spent,neutral_spent,support_hhi,oppose_hhi,neutral_hhi
h02154,2011,187,1,0,361.8096306,1,,1
s00226,2011,187,656.5538969,0,1626.373626,0.52386749,,0.50146092
h02152,2011,187,20769.80865,0,0,0.512681261,,
h01865,2011,187,694.4444444,0,0,1,,
h00812,2011,187,0,0,633.9281773,,,0.514335419
h04085,2011,187,930.299,4999.8,55.66157761,1,1,1
h02153,2011,187,0,0,361.8096306,,,1
s01514,2011,187,0,0,95.16526741,,,1
h02749,2011,187,8540.499697,39736.75,43.75,0.732750502,0.394063836,1
h02748,2011,187,380,0,0,0.501385042,,
h02039,2011,187,6422.231252,3255.661328,341.7923993,0.967917176,0.605173186,0.546935135
h02038,2011,187,6317.501733,12560.66776,574.1628099,1,0.135137426,0.760391768
h02743,2011,187,0,14104.65696,67696.03976,,0.189731493,0.114774665
s01900,2011,187,10089.43364,391.4233333,23754.43416,0.203246737,1,0.315388629
s01903,2011,187,14116.86243,0,12463.51857,0.252869893,,0.198013527
s01902,2011,187,18628.56192,1500,12781.68279,0.507390477,1,0.882705582
h02031,2011,187,0,3935.168189,764.9247739,,0.155370305,0.537434052
h02030,2011,187,0,9468.564133,5973.430069,,0.116242184,0.503763779
h02033,2011,187,0,7070.634732,35774.55101,,0.139522408,0.833291696
h02032,2011,187,7757.724638,29810.35682,2973.051009,0.898182963,0.497362958,0.747032549
h01218,2011,187,1703.593015,0,0,0.368662765,,
h01219,2011,187,510.3194444,6131.915959,17773.07474,0.775154669,0.429845373,0.256446669
h02257,2011,187,0,115,1952.143862,,1,0.899044777
h02256,2011,187,1299.553667,0,0,0.500476948,,
h02927,2011,187,2769.808646,0,0,0.507361046,,
h02926,2011,187,3437.443643,0,0,0.504651858,,
h02925,2011,187,3025.678937,0,0,0.530177479,,
h02252,2011,187,131.87,600,0,1,1,
h01210,2011,187,3650.396825,1160.714286,5225.461326,1,1,0.565032124
h01211,2011,187,0,4603.281998,103.4482759,,0.157973146,1
h01212,2011,187,49319.58392,9667.7291,10293.71456,0.313497262,0.122238052,0.409396508
h01213,2011,187,444.4444444,33267.83333,4880.872453,1,0.616844988,0.27497994
h01214,2011,187,0,7070.634732,3556.343408,,0.139522408,0.811649284
h01215,2011,187,1802,5956.25498,4452.82874,1,0.152548096,0.558140618
h01216,2011,187,187694.2538,9966.476131,31651.6644,0.220271981,0.120350343,0.46994007
h01217,2011,187,5000,906.2289144,597.7511559,1,0.323969061,1
s00744,2011,187,0,0,361.8096306,,,1
h00198,2011,187,1700.3675,0,0,0.714316776,,
s00747,2011,187,0,0,132.3917539,,,0.356095984
s00740,2011,187,600,360,0,1,1,
s00742,2011,187,0,0,562.7124353,,,0.565173626
s01157,2011,187,96600,20036.52403,5315.979564,0.493846688,0.718644619,0.201865464
h02372,2011,187,759.0894607,961.5384615,41090.90909,0.35409689,1,0.948312319
s00386,2011,187,501,0,3767.157999,1,,0.358421925
h00947,2011,187,0,0,650,,,1
s00986,2011,187,9380.132376,2957.744662,638.0008515,0.920667237,0.683348619,0.72829279
s00987,2011,187,840.5,0,533.5721834,1,,1
s00984,2011,187,16879.75341,2689.527303,734.5525756,0.290079702,0.31528151,1
s01155,2011,187,7166.173634,0,3280.574103,0.296153999,,0.484276733
h01698,2011,187,0,0,104.5609651,,,0.500041077
s00983,2011,187,9309,0,0,1,,
s00981,2011,187,0,0,734.5525756,,,1
h01694,2011,187,0,0,104.5609651,,,0.500041077
h01695,2011,187,19012.08806,1818.538889,29918.9487,0.210624311,0.404813248,0.174586336
h01696,2011,187,3077.768668,10793.53901,1782.737214,1,0.351987546,0.611185814
h01697,2011,187,44020.57438,49959.5221,20105.83282,0.57225774,0.270106718,0.256366442
h01691,2011,187,0,0,104.5609651,,,0.500041077
s00988,2011,187,3077.768668,12451.05696,3178.371694,1,0.200649517,0.515243566
